Solution_1_volume,Solution_1_concentration,Solution_2_volume,Solution_2_concentration,Solution_3_volume,Solution_3_concentration,Solution_4_volume,Solution_4_concentration,Answer
37.0,0.5,144.0,0.49,289.0,0.24,315.0,0.14,0.26
361.0,0.94,85.0,0.76,68.0,0.43,384.0,0.5,0.7
207.0,0.66,42.0,0.37,353.0,0.46,331.0,0.87,0.65
376.0,0.09,219.0,0.15,57.0,0.42,291.0,0.74,0.32
120.0,0.82,265.0,0.78,78.0,0.81,233.0,0.46,0.68
127.0,0.25,164.0,0.51,283.0,0.12,61.0,0.75,0.31
218.0,0.7,108.0,0.38,143.0,0.26,124.0,0.66,0.53
367.0,0.55,303.0,0.94,57.0,0.23,264.0,0.49,0.63
96.0,0.18,118.0,0.44,295.0,0.81,140.0,0.94,0.68
191.0,0.05,199.0,0.84,181.0,0.24,128.0,0.88,0.48
232.0,0.64,92.0,0.12,101.0,0.86,325.0,0.96,0.74
148.0,0.03,160.0,0.96,142.0,0.32,188.0,0.15,0.36
78.0,0.51,327.0,0.37,70.0,0.42,132.0,0.74,0.47
189.0,0.55,68.0,0.33,330.0,0.34,57.0,0.92,0.45
309.0,0.09,10.0,0.36,181.0,0.38,149.0,0.59,0.29
378.0,0.61,321.0,0.72,337.0,0.31,105.0,0.98,0.59
298.0,0.58,71.0,0.53,17.0,0.12,366.0,0.96,0.75
28.0,0.76,203.0,0.23,332.0,0.46,181.0,0.31,0.37
336.0,0.75,263.0,0.72,155.0,0.98,325.0,0.1,0.58
297.0,0.83,383.0,0.37,373.0,0.78,252.0,0.25,0.57
211.0,0.45,167.0,0.56,367.0,0.49,214.0,0.08,0.4
342.0,0.28,251.0,0.34,267.0,0.43,254.0,0.41,0.36
201.0,0.78,269.0,0.35,190.0,0.0,386.0,0.17,0.3
398.0,0.76,270.0,0.54,243.0,0.6,205.0,0.06,0.54
373.0,0.19,222.0,0.97,217.0,0.16,347.0,0.67,0.48
305.0,0.88,301.0,0.02,211.0,0.51,116.0,0.05,0.42
153.0,0.17,245.0,0.02,305.0,0.99,342.0,0.36,0.44
166.0,0.57,393.0,0.55,311.0,0.12,240.0,0.98,0.53
355.0,0.98,70.0,0.33,174.0,0.11,113.0,0.52,0.63
245.0,0.8,262.0,0.84,212.0,0.05,16.0,0.3,0.59
203.0,0.56,334.0,0.35,236.0,0.16,385.0,0.37,0.35
376.0,0.75,80.0,0.19,218.0,0.35,344.0,0.3,0.47
246.0,0.03,175.0,0.83,325.0,0.71,45.0,0.11,0.49
258.0,0.15,22.0,0.07,211.0,0.81,232.0,0.32,0.39
114.0,0.1,153.0,0.21,344.0,0.5,66.0,0.36,0.35
46.0,0.88,332.0,0.97,211.0,0.48,154.0,0.64,0.76
300.0,0.14,88.0,0.78,231.0,0.26,363.0,0.7,0.43
75.0,0.38,216.0,0.63,373.0,0.47,71.0,0.15,0.48
182.0,0.76,311.0,0.23,273.0,0.31,171.0,0.83,0.47
364.0,0.08,282.0,0.4,216.0,0.17,102.0,0.88,0.28
128.0,0.99,388.0,0.63,111.0,0.2,388.0,0.28,0.49
312.0,0.56,10.0,0.52,260.0,0.16,88.0,0.33,0.37
180.0,0.09,180.0,0.54,279.0,0.43,317.0,0.97,0.57
231.0,0.93,329.0,0.97,376.0,0.38,239.0,0.73,0.72
192.0,0.17,278.0,0.51,45.0,0.2,26.0,0.75,0.38
251.0,0.92,82.0,0.57,137.0,0.54,152.0,0.82,0.77
378.0,0.16,348.0,0.0,132.0,0.81,371.0,1.0,0.44
307.0,0.85,135.0,0.12,369.0,0.63,135.0,0.49,0.61
271.0,0.92,235.0,0.64,133.0,0.46,384.0,0.53,0.65
71.0,0.18,398.0,0.26,121.0,0.59,203.0,0.86,0.46
345.0,0.15,91.0,0.55,231.0,0.36,327.0,0.46,0.34
72.0,0.28,388.0,0.3,326.0,0.73,100.0,0.72,0.5
217.0,0.43,307.0,0.25,240.0,0.95,79.0,0.02,0.47
69.0,0.83,249.0,0.58,194.0,0.31,55.0,0.24,0.49
383.0,0.66,204.0,0.51,108.0,0.06,293.0,0.68,0.57
176.0,0.65,319.0,0.58,357.0,0.37,280.0,0.29,0.45
81.0,0.48,300.0,0.4,175.0,0.34,397.0,0.44,0.41
354.0,0.7,227.0,1.0,261.0,0.36,211.0,0.89,0.72
210.0,0.18,114.0,0.75,300.0,0.77,41.0,0.86,0.59
321.0,0.3,320.0,0.24,329.0,0.73,244.0,0.57,0.45
278.0,0.53,350.0,0.51,188.0,0.2,282.0,0.13,0.36
277.0,0.57,119.0,0.95,373.0,0.33,76.0,0.89,0.55
194.0,0.67,178.0,0.4,161.0,0.84,184.0,0.42,0.58
341.0,0.79,112.0,0.43,259.0,0.02,318.0,0.85,0.58
143.0,0.49,355.0,0.02,15.0,0.49,68.0,0.56,0.21
208.0,0.65,329.0,0.51,39.0,0.66,127.0,0.28,0.52
114.0,0.3,124.0,0.32,224.0,0.44,387.0,0.35,0.36
341.0,0.36,398.0,0.74,176.0,0.55,24.0,0.58,0.56
25.0,0.05,229.0,0.77,325.0,0.44,211.0,0.67,0.58
261.0,0.72,241.0,0.75,291.0,1.0,231.0,0.97,0.86
145.0,0.21,182.0,0.9,13.0,0.89,10.0,0.42,0.6
304.0,0.08,375.0,0.1,261.0,0.79,399.0,0.37,0.31
246.0,0.88,27.0,0.21,379.0,0.37,273.0,0.79,0.62
177.0,0.97,126.0,0.43,60.0,0.13,255.0,0.01,0.38
131.0,0.08,253.0,0.24,299.0,0.63,72.0,0.53,0.39
252.0,0.68,324.0,0.62,99.0,0.67,368.0,0.98,0.77
23.0,0.05,322.0,0.75,270.0,0.35,352.0,0.55,0.55
327.0,0.69,76.0,0.38,79.0,0.47,83.0,0.6,0.6
239.0,0.71,215.0,0.84,136.0,0.94,95.0,0.65,0.79
346.0,0.21,174.0,0.99,121.0,0.45,187.0,0.98,0.58
370.0,0.2,334.0,0.63,82.0,0.69,246.0,0.5,0.45
278.0,0.67,135.0,0.97,158.0,0.38,11.0,0.91,0.67
35.0,0.58,173.0,0.48,334.0,0.91,238.0,0.92,0.8
165.0,0.31,280.0,0.3,36.0,0.86,56.0,0.4,0.35
309.0,0.51,296.0,0.72,256.0,0.53,229.0,0.36,0.54
175.0,0.93,210.0,0.81,285.0,0.82,374.0,0.93,0.88
363.0,0.55,312.0,0.64,379.0,0.98,326.0,0.62,0.7
290.0,0.79,17.0,0.53,159.0,0.26,32.0,0.48,0.59
139.0,0.11,47.0,0.21,81.0,0.29,231.0,0.41,0.29
152.0,0.25,364.0,0.89,80.0,0.54,26.0,0.58,0.68
256.0,0.45,213.0,0.67,141.0,0.2,356.0,0.23,0.38
180.0,0.41,330.0,0.02,381.0,0.07,225.0,0.21,0.14
350.0,0.99,212.0,0.02,69.0,0.54,331.0,0.97,0.74
59.0,0.12,310.0,0.54,284.0,0.35,244.0,0.92,0.56
317.0,0.85,304.0,0.12,174.0,0.64,388.0,0.09,0.38
347.0,0.26,129.0,0.18,139.0,0.51,383.0,0.06,0.21
183.0,0.69,220.0,0.74,292.0,0.55,178.0,0.94,0.71
42.0,0.38,328.0,0.11,143.0,0.07,105.0,0.75,0.23
235.0,0.7,341.0,0.88,157.0,0.02,17.0,0.97,0.65
385.0,0.17,78.0,1.0,246.0,0.73,56.0,0.76,0.48
152.0,0.01,386.0,0.99,25.0,0.29,117.0,0.86,0.72
184.0,0.64,335.0,0.72,124.0,0.95,192.0,0.17,0.61
19.0,0.0,192.0,0.69,116.0,0.3,69.0,0.76,0.55
251.0,0.33,310.0,0.4,380.0,0.14,135.0,0.27,0.28
321.0,0.37,306.0,0.14,136.0,0.32,385.0,0.31,0.28
360.0,0.62,82.0,0.91,197.0,0.88,278.0,0.3,0.6
191.0,0.92,99.0,0.85,191.0,0.38,15.0,0.74,0.69
211.0,0.75,353.0,0.62,27.0,0.09,361.0,0.71,0.67
82.0,0.15,78.0,0.5,115.0,0.84,84.0,0.98,0.64
55.0,0.47,79.0,0.11,297.0,0.45,309.0,0.51,0.44
215.0,0.27,356.0,0.72,265.0,0.58,231.0,0.03,0.45
197.0,0.25,114.0,0.82,148.0,0.15,152.0,0.92,0.5
255.0,0.03,260.0,0.43,299.0,0.29,27.0,0.52,0.26
212.0,0.86,278.0,0.72,398.0,0.8,218.0,0.24,0.68
134.0,0.56,327.0,0.26,195.0,0.74,222.0,0.03,0.35
112.0,0.0,228.0,0.49,171.0,0.91,309.0,0.18,0.39
228.0,0.63,250.0,0.29,357.0,0.04,295.0,0.56,0.35
132.0,0.22,248.0,0.61,118.0,0.6,60.0,0.33,0.49
179.0,0.67,36.0,0.7,335.0,0.13,25.0,0.83,0.36
384.0,0.06,76.0,0.02,337.0,0.78,16.0,0.94,0.37
232.0,0.78,240.0,0.17,280.0,0.71,234.0,0.65,0.58
84.0,0.47,102.0,0.25,161.0,0.42,140.0,0.64,0.46
395.0,0.44,115.0,0.13,279.0,0.54,312.0,0.71,0.51
233.0,0.31,110.0,0.28,158.0,0.8,142.0,0.95,0.57
389.0,0.17,271.0,0.85,243.0,0.01,174.0,0.67,0.39
11.0,0.67,251.0,0.28,151.0,0.59,136.0,0.69,0.47
249.0,0.76,394.0,0.13,382.0,0.58,382.0,0.54,0.47
88.0,0.1,358.0,0.27,270.0,0.26,240.0,0.65,0.35
191.0,0.05,253.0,0.92,140.0,0.02,18.0,0.71,0.43
295.0,0.54,12.0,0.1,250.0,0.12,193.0,0.99,0.51
370.0,0.38,277.0,0.55,190.0,0.71,132.0,0.92,0.57
380.0,0.58,301.0,0.98,33.0,0.79,113.0,0.39,0.71
244.0,0.91,296.0,0.81,136.0,0.84,167.0,0.63,0.81
87.0,0.45,90.0,0.32,97.0,0.35,189.0,0.13,0.27
341.0,0.81,396.0,0.08,143.0,0.18,33.0,0.37,0.38
50.0,0.76,63.0,0.61,280.0,0.88,258.0,0.88,0.84
144.0,0.2,129.0,0.08,88.0,0.76,21.0,0.04,0.28
323.0,0.23,182.0,0.18,399.0,0.96,237.0,0.61,0.56
356.0,0.95,164.0,0.64,361.0,0.75,20.0,0.51,0.8
332.0,0.57,384.0,0.9,344.0,0.12,196.0,0.34,0.51
44.0,0.91,209.0,0.79,75.0,0.81,284.0,0.66,0.74
248.0,0.72,242.0,0.9,239.0,0.78,207.0,0.36,0.7
120.0,0.47,50.0,0.59,161.0,0.38,358.0,0.21,0.32
324.0,0.09,176.0,0.4,290.0,0.78,394.0,0.03,0.29
301.0,0.33,39.0,0.17,157.0,0.71,228.0,0.35,0.41
223.0,0.88,24.0,0.53,365.0,0.32,185.0,0.39,0.5
74.0,0.86,276.0,0.26,393.0,0.04,223.0,0.25,0.21
239.0,0.39,215.0,0.9,208.0,0.52,79.0,0.95,0.63
164.0,0.84,93.0,0.96,254.0,0.11,165.0,0.43,0.48
90.0,0.24,181.0,0.07,78.0,0.7,116.0,0.04,0.2
176.0,0.22,141.0,0.34,123.0,0.32,211.0,0.51,0.36
105.0,0.94,123.0,0.95,28.0,0.84,116.0,0.51,0.8
136.0,0.44,326.0,0.8,114.0,0.11,172.0,0.11,0.47
340.0,0.65,77.0,0.53,253.0,0.32,399.0,0.95,0.68
95.0,0.11,108.0,0.69,34.0,0.65,298.0,0.06,0.23
398.0,0.24,364.0,0.12,374.0,0.12,81.0,0.83,0.21
251.0,0.2,382.0,0.67,333.0,0.64,240.0,0.58,0.55
128.0,0.89,243.0,0.69,51.0,0.39,142.0,0.45,0.65
341.0,0.9,57.0,0.84,186.0,0.47,141.0,0.29,0.67
55.0,0.58,171.0,0.11,85.0,0.6,273.0,0.22,0.28
157.0,0.46,98.0,0.57,163.0,0.67,378.0,0.06,0.33
365.0,0.41,23.0,0.89,247.0,0.8,38.0,0.28,0.56
71.0,0.39,368.0,0.76,378.0,0.21,103.0,0.77,0.51
91.0,0.36,291.0,0.92,185.0,0.3,60.0,0.92,0.66
284.0,0.84,289.0,0.19,171.0,0.76,145.0,0.11,0.49
211.0,0.45,142.0,0.35,29.0,0.98,183.0,0.94,0.61
315.0,0.49,221.0,0.63,354.0,0.31,365.0,0.85,0.57
173.0,0.51,214.0,0.0,14.0,0.68,57.0,0.66,0.3
94.0,0.63,346.0,0.69,70.0,0.41,127.0,0.77,0.67
89.0,0.06,70.0,0.8,394.0,0.3,35.0,0.73,0.35
295.0,0.15,67.0,0.38,38.0,1.0,32.0,0.25,0.27
160.0,0.2,28.0,0.64,111.0,0.43,34.0,0.36,0.33
33.0,0.47,344.0,0.52,321.0,0.13,57.0,0.39,0.34
82.0,0.23,27.0,0.91,340.0,0.17,28.0,0.42,0.24
249.0,0.09,246.0,0.91,46.0,0.51,237.0,0.9,0.62
289.0,0.96,389.0,0.33,104.0,0.27,39.0,0.79,0.57
115.0,0.78,205.0,0.26,153.0,0.93,288.0,0.7,0.64
248.0,0.75,88.0,0.93,57.0,0.67,384.0,0.94,0.86
311.0,0.97,227.0,0.8,235.0,0.45,198.0,0.46,0.7
129.0,0.79,196.0,0.59,27.0,0.69,210.0,0.07,0.45
232.0,0.81,374.0,0.16,397.0,0.98,197.0,0.82,0.67
50.0,0.41,371.0,0.66,11.0,0.17,218.0,0.04,0.42
118.0,0.56,392.0,0.01,121.0,0.07,142.0,0.84,0.26
270.0,0.04,188.0,0.08,261.0,0.15,322.0,0.92,0.35
291.0,0.21,152.0,0.64,213.0,0.2,96.0,0.32,0.31
352.0,0.01,131.0,0.06,135.0,0.27,113.0,0.92,0.21
177.0,0.26,65.0,0.44,230.0,0.64,288.0,0.5,0.48
364.0,0.35,159.0,0.3,222.0,0.01,115.0,0.8,0.31
218.0,0.53,27.0,0.69,20.0,0.38,297.0,0.38,0.45
90.0,0.64,158.0,0.07,209.0,0.97,48.0,0.02,0.54
322.0,0.15,299.0,0.13,104.0,0.9,204.0,0.05,0.21
279.0,0.52,30.0,0.12,173.0,0.1,112.0,0.27,0.33
338.0,0.83,129.0,0.51,26.0,0.04,128.0,0.38,0.64
51.0,0.24,93.0,0.88,143.0,0.76,29.0,0.89,0.72
241.0,0.75,341.0,0.35,232.0,0.51,15.0,0.1,0.51
126.0,0.78,290.0,0.79,276.0,0.81,90.0,0.59,0.77
142.0,0.94,98.0,0.27,368.0,0.02,320.0,0.34,0.3
297.0,0.91,223.0,0.82,269.0,0.72,333.0,0.82,0.82
82.0,0.7,128.0,0.3,98.0,0.43,57.0,0.41,0.44
167.0,0.8,41.0,0.04,273.0,0.64,264.0,0.3,0.52
10.0,0.62,97.0,0.76,126.0,0.92,216.0,0.5,0.68
86.0,0.58,246.0,0.86,205.0,0.43,220.0,0.71,0.67
301.0,0.22,342.0,0.77,27.0,0.03,248.0,0.66,0.54
390.0,0.99,222.0,0.85,189.0,0.08,36.0,0.13,0.71
272.0,0.19,254.0,0.44,350.0,0.45,195.0,0.7,0.43
156.0,0.62,122.0,0.01,278.0,0.8,384.0,0.16,0.41
295.0,0.09,283.0,0.17,130.0,0.29,182.0,0.1,0.15
34.0,0.26,48.0,0.32,309.0,0.07,399.0,0.55,0.34
25.0,0.68,51.0,0.91,229.0,0.87,69.0,0.17,0.73
138.0,0.41,204.0,0.37,298.0,0.94,222.0,0.73,0.67
203.0,0.89,243.0,0.71,319.0,0.67,247.0,0.36,0.65
317.0,0.53,308.0,0.61,301.0,0.19,265.0,0.04,0.36
164.0,0.74,393.0,0.35,183.0,0.21,333.0,0.64,0.48
296.0,0.3,13.0,0.28,236.0,0.98,220.0,0.32,0.52
104.0,0.9,262.0,0.35,182.0,0.48,65.0,0.63,0.51
317.0,0.13,29.0,0.71,363.0,0.7,285.0,0.02,0.32
297.0,0.74,371.0,0.77,208.0,0.07,360.0,0.46,0.55
310.0,0.1,161.0,0.51,79.0,0.55,267.0,0.99,0.52
178.0,0.4,290.0,0.4,155.0,0.06,195.0,0.75,0.42
121.0,0.89,283.0,0.06,289.0,0.37,222.0,0.63,0.41
363.0,0.76,126.0,0.69,289.0,0.72,230.0,0.44,0.67
